Month-Year,rainfall,cases
2014-01-06,126.9,13
2014-01-07,85.475,11
2014-01-08,82.925,18
2014-01-09,87.39999999999999,6
2014-01-10,129.29999999999998,20
2014-01-11,117.675,19
2014-01-12,109.77500000000002,10
2015-01-01,1.5500000000000003,7
2015-01-02,22.5,1
2015-01-03,121.37500000000001,4
2015-01-04,204.92500000000004,8
2015-01-05,289.775,24
2015-01-06,115.525,35
2015-01-07,62.325,25
2015-01-08,35.875,18
2015-01-09,39.974999999999994,18
2015-01-10,110.0625,33
2015-01-11,186.71249999999998,29
2015-01-12,118.02499999999999,24
2016-01-01,57.625,11
2016-01-02,2.875,8
2016-01-03,57.074999999999996,20
2016-01-04,323.15,33
2016-01-05,150.55,40
2016-01-06,57.675,24
